,node_number,drone_number,capacity_of_drones,arc_weight,result,type
0,36,1,180,5,-1,Not Cover
1,36,1,180,10,-1,Not Cover
2,36,1,180,15,-1,Not Cover
3,36,1,180,20,-1,Not Cover
4,36,1,180,25,-1,Not Cover
5,36,1,180,30,-1,Not Cover
6,36,1,240,5,-1,Not Cover
7,36,1,240,10,-1,Not Cover
8,36,1,240,15,-1,Not Cover
9,36,1,240,20,-1,Not Cover
10,36,1,240,25,-1,Not Cover
11,36,1,240,30,-1,Not Cover
12,36,1,300,5,-1,Not Cover
13,36,1,300,10,-1,Not Cover
14,36,1,300,15,-1,Not Cover
15,36,1,300,20,-1,Not Cover
16,36,1,300,25,-1,Not Cover
17,36,1,300,30,-1,Not Cover
18,36,1,360,5,-1,Not Cover
19,36,1,360,10,-1,Not Cover
20,36,1,360,15,-1,Not Cover
21,36,1,360,20,-1,Not Cover
22,36,1,360,25,-1,Not Cover
23,36,1,360,30,-1,Not Cover
24,36,1,420,5,-1,Not Cover
25,36,1,420,10,-1,Not Cover
26,36,1,420,15,-1,Not Cover
27,36,1,420,20,-1,Not Cover
28,36,1,420,25,-1,Not Cover
29,36,1,420,30,-1,Not Cover
30,36,1,480,5,-1,Not Cover
31,36,1,480,10,-1,Not Cover
32,36,1,480,15,-1,Not Cover
33,36,1,480,20,-1,Not Cover
34,36,1,480,25,-1,Not Cover
35,36,1,480,30,-1,Not Cover
36,36,1,540,5,-1,Not Cover
37,36,1,540,10,-1,Not Cover
38,36,1,540,15,-1,Not Cover
39,36,1,540,20,-1,Not Cover
40,36,1,540,25,-1,Not Cover
41,36,1,540,30,-1,Not Cover
42,36,1,600,5,-1,Not Cover
43,36,1,600,10,-1,Not Cover
44,36,1,600,15,-1,Not Cover
45,36,1,600,20,-1,Not Cover
46,36,1,600,25,-1,Not Cover
47,36,1,600,30,-1,Not Cover
48,36,2,180,5,-1,Not Cover
49,36,2,180,10,-1,Not Cover
50,36,2,180,15,-1,Not Cover
51,36,2,180,20,-1,Not Cover
52,36,2,180,25,-1,Not Cover
53,36,2,180,30,-1,Not Cover
54,36,2,240,5,-1,Not Cover
55,36,2,240,10,-1,Not Cover
56,36,2,240,15,-1,Not Cover
