,node_number,drone_number,capacity_of_drones,arc_weight,result,type
0,49,1,180,5,-1,Not Cover
1,49,1,180,10,-1,Not Cover
2,49,1,180,15,-1,Not Cover
3,49,1,180,20,-1,Not Cover
4,49,1,180,25,-1,Not Cover
5,49,1,180,30,-1,Not Cover
6,49,1,240,5,-1,Not Cover
7,49,1,240,10,-1,Not Cover
8,49,1,240,15,-1,Not Cover
9,49,1,240,20,-1,Not Cover
10,49,1,240,25,-1,Not Cover
11,49,1,240,30,-1,Not Cover
12,49,1,300,5,-1,Not Cover
13,49,1,300,10,-1,Not Cover
14,49,1,300,15,-1,Not Cover
15,49,1,300,20,-1,Not Cover
16,49,1,300,25,-1,Not Cover
17,49,1,300,30,-1,Not Cover
18,49,1,360,5,-1,Not Cover
19,49,1,360,10,-1,Not Cover
20,49,1,360,15,-1,Not Cover
21,49,1,360,20,-1,Not Cover
22,49,1,360,25,-1,Not Cover
23,49,1,360,30,-1,Not Cover
24,49,1,420,5,-1,Not Cover
25,49,1,420,10,-1,Not Cover
26,49,1,420,15,-1,Not Cover
27,49,1,420,20,-1,Not Cover
28,49,1,420,25,-1,Not Cover
29,49,1,420,30,-1,Not Cover
30,49,1,480,5,-1,Not Cover
31,49,1,480,10,-1,Not Cover
32,49,1,480,15,-1,Not Cover
33,49,1,480,20,-1,Not Cover
34,49,1,480,25,-1,Not Cover
35,49,1,480,30,-1,Not Cover
36,49,1,540,5,-1,Not Cover
37,49,1,540,10,-1,Not Cover
38,49,1,540,15,-1,Not Cover
39,49,1,540,20,-1,Not Cover
40,49,1,540,25,-1,Not Cover
41,49,1,540,30,-1,Not Cover
42,49,1,600,5,-1,Not Cover
43,49,1,600,10,-1,Not Cover
44,49,1,600,15,-1,Not Cover
45,49,1,600,20,-1,Not Cover
46,49,1,600,25,-1,Not Cover
47,49,1,600,30,-1,Not Cover
48,49,2,180,5,-1,Not Cover
49,49,2,180,10,-1,Not Cover
50,49,2,180,15,-1,Not Cover
51,49,2,180,20,-1,Not Cover
52,49,2,180,25,-1,Not Cover
53,49,2,180,30,-1,Not Cover
54,49,2,240,5,-1,Not Cover
55,49,2,240,10,-1,Not Cover
56,49,2,240,15,-1,Not Cover
57,49,2,240,20,-1,Not Cover
58,49,2,240,25,-1,Not Cover
59,49,2,240,30,-1,Not Cover
60,49,2,300,5,-1,Not Cover
61,49,2,300,10,-1,Not Cover
62,49,2,300,15,-1,Not Cover
63,49,2,300,20,-1,Not Cover
64,49,2,300,25,-1,Not Cover
65,49,2,300,30,-1,Not Cover
66,49,2,360,5,-1,Not Cover
67,49,2,360,10,-1,Not Cover
68,49,2,360,15,-1,Not Cover
69,49,2,360,20,-1,Not Cover
70,49,2,360,25,-1,Not Cover
71,49,2,360,30,-1,Not Cover
72,49,2,420,5,-1,Not Cover
73,49,2,420,10,-1,Not Cover
74,49,2,420,15,-1,Not Cover
75,49,2,420,20,-1,Not Cover
76,49,2,420,25,-1,Not Cover
77,49,2,420,30,-1,Not Cover
78,49,2,480,5,-1,Not Cover
79,49,2,480,10,-1,Not Cover
80,49,2,480,15,-1,Not Cover
81,49,2,480,20,-1,Not Cover
82,49,2,480,25,-1,Not Cover
83,49,2,480,30,-1,Not Cover
84,49,2,540,5,-1,Not Cover
85,49,2,540,10,-1,Not Cover
86,49,2,540,15,-1,Not Cover
87,49,2,540,20,-1,Not Cover
88,49,2,540,25,-1,Not Cover
89,49,2,540,30,-1,Not Cover
90,49,2,600,5,-1,Not Cover
91,49,2,600,10,-1,Not Cover
92,49,2,600,15,-1,Not Cover
93,49,2,600,20,-1,Not Cover
94,49,2,600,25,-1,Not Cover
95,49,2,600,30,-1,Not Cover
96,49,3,180,5,-1,Not Cover
97,49,3,180,10,-1,Not Cover
98,49,3,180,15,-1,Not Cover
99,49,3,180,20,-1,Not Cover
100,49,3,180,25,-1,Not Cover
101,49,3,180,30,-1,Not Cover
102,49,3,240,5,-1,Not Cover
103,49,3,240,10,-1,Not Cover
104,49,3,240,15,-1,Not Cover
105,49,3,240,20,-1,Not Cover
106,49,3,240,25,-1,Not Cover
107,49,3,240,30,-1,Not Cover
108,49,3,300,5,-1,Not Cover
109,49,3,300,10,-1,Not Cover
110,49,3,300,15,-1,Not Cover
111,49,3,300,20,-1,Not Cover
112,49,3,300,25,-1,Not Cover
113,49,3,300,30,-1,Not Cover
114,49,3,360,5,-1,Not Cover
115,49,3,360,10,-1,Not Cover
116,49,3,360,15,-1,Not Cover
117,49,3,360,20,-1,Not Cover
118,49,3,360,25,-1,Not Cover
119,49,3,360,30,-1,Not Cover
120,49,3,420,5,-1,Not Cover
121,49,3,420,10,-1,Not Cover
122,49,3,420,15,-1,Not Cover
123,49,3,420,20,-1,Not Cover
124,49,3,420,25,-1,Not Cover
125,49,3,420,30,-1,Not Cover
126,49,3,480,5,-1,Not Cover
127,49,3,480,10,-1,Not Cover
128,49,3,480,15,-1,Not Cover
129,49,3,480,20,-1,Not Cover
130,49,3,480,25,-1,Not Cover
131,49,3,480,30,-1,Not Cover
132,49,3,540,5,-1,Not Cover
