,node_number,drone_number,capacity_of_drones,arc_weight,result,type
0,64,1,180,5,-1,Not Cover
1,64,1,180,10,-1,Not Cover
2,64,1,180,15,-1,Not Cover
3,64,1,180,20,-1,Not Cover
4,64,1,180,25,-1,Not Cover
5,64,1,180,30,-1,Not Cover
6,64,1,240,5,-1,Not Cover
7,64,1,240,10,-1,Not Cover
8,64,1,240,15,-1,Not Cover
9,64,1,240,20,-1,Not Cover
10,64,1,240,25,-1,Not Cover
11,64,1,240,30,-1,Not Cover
12,64,1,300,5,-1,Not Cover
13,64,1,300,10,-1,Not Cover
14,64,1,300,15,-1,Not Cover
15,64,1,300,20,-1,Not Cover
16,64,1,300,25,-1,Not Cover
17,64,1,300,30,-1,Not Cover
18,64,1,360,5,-1,Not Cover
19,64,1,360,10,-1,Not Cover
20,64,1,360,15,-1,Not Cover
21,64,1,360,20,-1,Not Cover
22,64,1,360,25,-1,Not Cover
23,64,1,360,30,-1,Not Cover
24,64,1,420,5,-1,Not Cover
25,64,1,420,10,-1,Not Cover
26,64,1,420,15,-1,Not Cover
27,64,1,420,20,-1,Not Cover
28,64,1,420,25,-1,Not Cover
29,64,1,420,30,-1,Not Cover
30,64,1,480,5,-1,Not Cover
31,64,1,480,10,-1,Not Cover
32,64,1,480,15,-1,Not Cover
33,64,1,480,20,-1,Not Cover
34,64,1,480,25,-1,Not Cover
35,64,1,480,30,-1,Not Cover
36,64,1,540,5,-1,Not Cover
37,64,1,540,10,-1,Not Cover
38,64,1,540,15,-1,Not Cover
39,64,1,540,20,-1,Not Cover
40,64,1,540,25,-1,Not Cover
41,64,1,540,30,-1,Not Cover
42,64,1,600,5,-1,Not Cover
43,64,1,600,10,-1,Not Cover
44,64,1,600,15,-1,Not Cover
45,64,1,600,20,-1,Not Cover
46,64,1,600,25,-1,Not Cover
47,64,1,600,30,-1,Not Cover
48,64,2,180,5,-1,Not Cover
49,64,2,180,10,-1,Not Cover
50,64,2,180,15,-1,Not Cover
51,64,2,180,20,-1,Not Cover
52,64,2,180,25,-1,Not Cover
53,64,2,180,30,-1,Not Cover
54,64,2,240,5,-1,Not Cover
55,64,2,240,10,-1,Not Cover
56,64,2,240,15,-1,Not Cover
57,64,2,240,20,-1,Not Cover
58,64,2,240,25,-1,Not Cover
59,64,2,240,30,-1,Not Cover
60,64,2,300,5,-1,Not Cover
61,64,2,300,10,-1,Not Cover
62,64,2,300,15,-1,Not Cover
63,64,2,300,20,-1,Not Cover
64,64,2,300,25,-1,Not Cover
65,64,2,300,30,-1,Not Cover
66,64,2,360,5,-1,Not Cover
67,64,2,360,10,-1,Not Cover
68,64,2,360,15,-1,Not Cover
69,64,2,360,20,-1,Not Cover
70,64,2,360,25,-1,Not Cover
71,64,2,360,30,-1,Not Cover
72,64,2,420,5,-1,Not Cover
73,64,2,420,10,-1,Not Cover
74,64,2,420,15,-1,Not Cover
75,64,2,420,20,-1,Not Cover
76,64,2,420,25,-1,Not Cover
77,64,2,420,30,-1,Not Cover
78,64,2,480,5,-1,Not Cover
79,64,2,480,10,-1,Not Cover
80,64,2,480,15,-1,Not Cover
81,64,2,480,20,-1,Not Cover
82,64,2,480,25,-1,Not Cover
83,64,2,480,30,-1,Not Cover
84,64,2,540,5,-1,Not Cover
85,64,2,540,10,-1,Not Cover
86,64,2,540,15,-1,Not Cover
87,64,2,540,20,-1,Not Cover
88,64,2,540,25,-1,Not Cover
89,64,2,540,30,-1,Not Cover
90,64,2,600,5,-1,Not Cover
91,64,2,600,10,-1,Not Cover
92,64,2,600,15,-1,Not Cover
93,64,2,600,20,-1,Not Cover
94,64,2,600,25,-1,Not Cover
95,64,2,600,30,-1,Not Cover
96,64,3,180,5,-1,Not Cover
97,64,3,180,10,-1,Not Cover
98,64,3,180,15,-1,Not Cover
99,64,3,180,20,-1,Not Cover
100,64,3,180,25,-1,Not Cover
101,64,3,180,30,-1,Not Cover
102,64,3,240,5,-1,Not Cover
103,64,3,240,10,-1,Not Cover
104,64,3,240,15,-1,Not Cover
105,64,3,240,20,-1,Not Cover
106,64,3,240,25,-1,Not Cover
107,64,3,240,30,-1,Not Cover
108,64,3,300,5,-1,Not Cover
109,64,3,300,10,-1,Not Cover
110,64,3,300,15,-1,Not Cover
111,64,3,300,20,-1,Not Cover
112,64,3,300,25,-1,Not Cover
113,64,3,300,30,-1,Not Cover
114,64,3,360,5,-1,Not Cover
115,64,3,360,10,-1,Not Cover
116,64,3,360,15,-1,Not Cover
117,64,3,360,20,-1,Not Cover
118,64,3,360,25,-1,Not Cover
119,64,3,360,30,-1,Not Cover
120,64,3,420,5,-1,Not Cover
121,64,3,420,10,-1,Not Cover
122,64,3,420,15,-1,Not Cover
123,64,3,420,20,-1,Not Cover
124,64,3,420,25,-1,Not Cover
125,64,3,420,30,-1,Not Cover
126,64,3,480,5,-1,Not Cover
127,64,3,480,10,-1,Not Cover
128,64,3,480,15,-1,Not Cover
129,64,3,480,20,-1,Not Cover
130,64,3,480,25,-1,Not Cover
131,64,3,480,30,-1,Not Cover
132,64,3,540,5,-1,Not Cover
133,64,3,540,10,-1,Not Cover
134,64,3,540,15,-1,Not Cover
135,64,3,540,20,-1,Not Cover
136,64,3,540,25,-1,Not Cover
137,64,3,540,30,-1,Not Cover
138,64,3,600,5,-1,Not Cover
139,64,3,600,10,-1,Not Cover
140,64,3,600,15,-1,Not Cover
141,64,3,600,20,-1,Not Cover
142,64,3,600,25,-1,Not Cover
143,64,3,600,30,-1,Not Cover
144,64,4,180,5,-1,Not Cover
145,64,4,180,10,-1,Not Cover
146,64,4,180,15,-1,Not Cover
147,64,4,180,20,-1,Not Cover
148,64,4,180,25,-1,Not Cover
149,64,4,180,30,-1,Not Cover
150,64,4,240,5,-1,Not Cover
151,64,4,240,10,-1,Not Cover
152,64,4,240,15,-1,Not Cover
153,64,4,240,20,-1,Not Cover
154,64,4,240,25,-1,Not Cover
155,64,4,240,30,-1,Not Cover
156,64,4,300,5,-1,Not Cover
157,64,4,300,10,-1,Not Cover
158,64,4,300,15,-1,Not Cover
159,64,4,300,20,-1,Not Cover
160,64,4,300,25,-1,Not Cover
161,64,4,300,30,-1,Not Cover
162,64,4,360,5,-1,Not Cover
163,64,4,360,10,-1,Not Cover
164,64,4,360,15,-1,Not Cover
165,64,4,360,20,-1,Not Cover
166,64,4,360,25,-1,Not Cover
167,64,4,360,30,-1,Not Cover
168,64,4,420,5,-1,Not Cover
169,64,4,420,10,-1,Not Cover
170,64,4,420,15,-1,Not Cover
171,64,4,420,20,-1,Not Cover
172,64,4,420,25,-1,Not Cover
173,64,4,420,30,-1,Not Cover
174,64,4,480,5,-1,Not Cover
175,64,4,480,10,-1,Not Cover
176,64,4,480,15,-1,Not Cover
177,64,4,480,20,-1,Not Cover
178,64,4,480,25,-1,Not Cover
179,64,4,480,30,-1,Not Cover
180,64,4,540,5,-1,Not Cover
181,64,4,540,10,-1,Not Cover
182,64,4,540,15,-1,Not Cover
183,64,4,540,20,-1,Not Cover
184,64,4,540,25,-1,Not Cover
185,64,4,540,30,-1,Not Cover
186,64,4,600,5,-1,Not Cover
187,64,4,600,10,-1,Not Cover
188,64,4,600,15,-1,Not Cover
189,64,4,600,20,-1,Not Cover
190,64,4,600,25,-1,Not Cover
191,64,4,600,30,-1,Not Cover
192,64,5,180,5,-1,Not Cover
193,64,5,180,10,-1,Not Cover
194,64,5,180,15,-1,Not Cover
195,64,5,180,20,-1,Not Cover
196,64,5,180,25,-1,Not Cover
197,64,5,180,30,-1,Not Cover
198,64,5,240,5,-1,Not Cover
199,64,5,240,10,-1,Not Cover
200,64,5,240,15,-1,Not Cover
201,64,5,240,20,-1,Not Cover
202,64,5,240,25,-1,Not Cover
203,64,5,240,30,-1,Not Cover
204,64,5,300,5,-1,Not Cover
205,64,5,300,10,-1,Not Cover
206,64,5,300,15,-1,Not Cover
207,64,5,300,20,-1,Not Cover
208,64,5,300,25,-1,Not Cover
209,64,5,300,30,-1,Not Cover
210,64,5,360,5,-1,Not Cover
211,64,5,360,10,-1,Not Cover
212,64,5,360,15,-1,Not Cover
213,64,5,360,20,-1,Not Cover
214,64,5,360,25,-1,Not Cover
215,64,5,360,30,-1,Not Cover
216,64,5,420,5,-1,Not Cover
217,64,5,420,10,-1,Not Cover
218,64,5,420,15,-1,Not Cover
219,64,5,420,20,-1,Not Cover
220,64,5,420,25,-1,Not Cover
221,64,5,420,30,-1,Not Cover
222,64,5,480,5,-1,Not Cover
223,64,5,480,10,-1,Not Cover
224,64,5,480,15,-1,Not Cover
225,64,5,480,20,-1,Not Cover
226,64,5,480,25,-1,Not Cover
227,64,5,480,30,-1,Not Cover
228,64,5,540,5,-1,Not Cover
229,64,5,540,10,-1,Not Cover
230,64,5,540,15,-1,Not Cover
231,64,5,540,20,-1,Not Cover
232,64,5,540,25,-1,Not Cover
233,64,5,540,30,-1,Not Cover
234,64,5,600,5,-1,Not Cover
235,64,5,600,10,-1,Not Cover
236,64,5,600,15,-1,Not Cover
237,64,5,600,20,-1,Not Cover
238,64,5,600,25,-1,Not Cover
239,64,5,600,30,-1,Not Cover
240,64,6,180,5,-1,Not Cover
241,64,6,180,10,-1,Not Cover
242,64,6,180,15,-1,Not Cover
243,64,6,180,20,-1,Not Cover
