,node_number,drone_number,capacity_of_drones,arc_weight,result,type
166,25,4,360,25,-1,Not Cover
167,25,4,360,30,-1,Not Cover
168,25,4,420,5,-1,Not Cover
169,25,4,420,10,-1,Not Cover
170,25,4,420,15,-1,Not Cover
171,25,4,420,20,-1,Not Cover
172,25,4,420,25,-1,Not Cover
173,25,4,420,30,-1,Not Cover
174,25,4,480,5,-1,Not Cover
175,25,4,480,10,-1,Not Cover
176,25,4,480,15,-1,Not Cover
177,25,4,480,20,-1,Not Cover
178,25,4,480,25,-1,Not Cover
179,25,4,480,30,-1,Not Cover
180,25,4,540,5,-1,Not Cover
181,25,4,540,10,-1,Not Cover
182,25,4,540,15,-1,Not Cover
183,25,4,540,20,-1,Not Cover
184,25,4,540,25,-1,Not Cover
185,25,4,540,30,-1,Not Cover
186,25,4,600,5,-1,Not Cover
187,25,4,600,10,-1,Not Cover
188,25,4,600,15,-1,Not Cover
189,25,4,600,20,-1,Not Cover
190,25,4,600,25,-1,Not Cover
191,25,4,600,30,-1,Not Cover
192,25,5,180,5,-1,Not Cover
193,25,5,180,10,-1,Not Cover
194,25,5,180,15,-1,Not Cover
195,25,5,180,20,-1,Not Cover
196,25,5,180,25,-1,Not Cover
197,25,5,180,30,-1,Not Cover
198,25,5,240,5,-1,Not Cover
199,25,5,240,10,-1,Not Cover
200,25,5,240,15,-1,Not Cover
201,25,5,240,20,-1,Not Cover
202,25,5,240,25,-1,Not Cover
203,25,5,240,30,-1,Not Cover
204,25,5,300,5,-1,Not Cover
205,25,5,300,10,-1,Not Cover
206,25,5,300,15,-1,Not Cover
207,25,5,300,20,-1,Not Cover
208,25,5,300,25,-1,Not Cover
209,25,5,300,30,-1,Not Cover
210,25,5,360,5,-1,Not Cover
211,25,5,360,10,-1,Not Cover
212,25,5,360,15,-1,Not Cover
213,25,5,360,20,-1,Not Cover
214,25,5,360,25,-1,Not Cover
215,25,5,360,30,-1,Not Cover
216,25,5,420,5,-1,Not Cover
217,25,5,420,10,-1,Not Cover
218,25,5,420,15,-1,Not Cover
219,25,5,420,20,-1,Not Cover
220,25,5,420,25,-1,Not Cover
221,25,5,420,30,-1,Not Cover
222,25,5,480,5,-1,Not Cover
223,25,5,480,10,-1,Not Cover
224,25,5,480,15,-1,Not Cover
225,25,5,480,20,-1,Not Cover
226,25,5,480,25,-1,Not Cover
227,25,5,480,30,-1,Not Cover
228,25,5,540,5,-1,Not Cover
