,node_number,drone_number,capacity_of_drones,arc_weight,result,type
0,81,1,180,5,-1,Not Cover
1,81,1,180,10,-1,Not Cover
2,81,1,180,15,-1,Not Cover
3,81,1,180,20,-1,Not Cover
4,81,1,180,25,-1,Not Cover
5,81,1,180,30,-1,Not Cover
6,81,1,240,5,-1,Not Cover
7,81,1,240,10,-1,Not Cover
8,81,1,240,15,-1,Not Cover
9,81,1,240,20,-1,Not Cover
10,81,1,240,25,-1,Not Cover
11,81,1,240,30,-1,Not Cover
12,81,1,300,5,-1,Not Cover
13,81,1,300,10,-1,Not Cover
14,81,1,300,15,-1,Not Cover
15,81,1,300,20,-1,Not Cover
16,81,1,300,25,-1,Not Cover
17,81,1,300,30,-1,Not Cover
18,81,1,360,5,-1,Not Cover
19,81,1,360,10,-1,Not Cover
20,81,1,360,15,-1,Not Cover
21,81,1,360,20,-1,Not Cover
22,81,1,360,25,-1,Not Cover
23,81,1,360,30,-1,Not Cover
24,81,1,420,5,-1,Not Cover
25,81,1,420,10,-1,Not Cover
26,81,1,420,15,-1,Not Cover
27,81,1,420,20,-1,Not Cover
28,81,1,420,25,-1,Not Cover
29,81,1,420,30,-1,Not Cover
30,81,1,480,5,-1,Not Cover
31,81,1,480,10,-1,Not Cover
32,81,1,480,15,-1,Not Cover
33,81,1,480,20,-1,Not Cover
34,81,1,480,25,-1,Not Cover
35,81,1,480,30,-1,Not Cover
36,81,1,540,5,-1,Not Cover
37,81,1,540,10,-1,Not Cover
38,81,1,540,15,-1,Not Cover
39,81,1,540,20,-1,Not Cover
40,81,1,540,25,-1,Not Cover
41,81,1,540,30,-1,Not Cover
42,81,1,600,5,-1,Not Cover
43,81,1,600,10,-1,Not Cover
44,81,1,600,15,-1,Not Cover
45,81,1,600,20,-1,Not Cover
46,81,1,600,25,-1,Not Cover
47,81,1,600,30,-1,Not Cover
48,81,2,180,5,-1,Not Cover
49,81,2,180,10,-1,Not Cover
50,81,2,180,15,-1,Not Cover
51,81,2,180,20,-1,Not Cover
52,81,2,180,25,-1,Not Cover
53,81,2,180,30,-1,Not Cover
54,81,2,240,5,-1,Not Cover
55,81,2,240,10,-1,Not Cover
56,81,2,240,15,-1,Not Cover
57,81,2,240,20,-1,Not Cover
58,81,2,240,25,-1,Not Cover
59,81,2,240,30,-1,Not Cover
60,81,2,300,5,-1,Not Cover
61,81,2,300,10,-1,Not Cover
62,81,2,300,15,-1,Not Cover
63,81,2,300,20,-1,Not Cover
64,81,2,300,25,-1,Not Cover
65,81,2,300,30,-1,Not Cover
66,81,2,360,5,-1,Not Cover
67,81,2,360,10,-1,Not Cover
68,81,2,360,15,-1,Not Cover
69,81,2,360,20,-1,Not Cover
70,81,2,360,25,-1,Not Cover
71,81,2,360,30,-1,Not Cover
72,81,2,420,5,-1,Not Cover
73,81,2,420,10,-1,Not Cover
74,81,2,420,15,-1,Not Cover
75,81,2,420,20,-1,Not Cover
76,81,2,420,25,-1,Not Cover
77,81,2,420,30,-1,Not Cover
78,81,2,480,5,-1,Not Cover
79,81,2,480,10,-1,Not Cover
80,81,2,480,15,-1,Not Cover
81,81,2,480,20,-1,Not Cover
82,81,2,480,25,-1,Not Cover
83,81,2,480,30,-1,Not Cover
84,81,2,540,5,-1,Not Cover
85,81,2,540,10,-1,Not Cover
86,81,2,540,15,-1,Not Cover
87,81,2,540,20,-1,Not Cover
88,81,2,540,25,-1,Not Cover
89,81,2,540,30,-1,Not Cover
90,81,2,600,5,-1,Not Cover
91,81,2,600,10,-1,Not Cover
92,81,2,600,15,-1,Not Cover
93,81,2,600,20,-1,Not Cover
94,81,2,600,25,-1,Not Cover
95,81,2,600,30,-1,Not Cover
96,81,3,180,5,-1,Not Cover
97,81,3,180,10,-1,Not Cover
98,81,3,180,15,-1,Not Cover
99,81,3,180,20,-1,Not Cover
100,81,3,180,25,-1,Not Cover
101,81,3,180,30,-1,Not Cover
102,81,3,240,5,-1,Not Cover
103,81,3,240,10,-1,Not Cover
104,81,3,240,15,-1,Not Cover
105,81,3,240,20,-1,Not Cover
106,81,3,240,25,-1,Not Cover
107,81,3,240,30,-1,Not Cover
108,81,3,300,5,-1,Not Cover
109,81,3,300,10,-1,Not Cover
110,81,3,300,15,-1,Not Cover
111,81,3,300,20,-1,Not Cover
112,81,3,300,25,-1,Not Cover
113,81,3,300,30,-1,Not Cover
114,81,3,360,5,-1,Not Cover
115,81,3,360,10,-1,Not Cover
116,81,3,360,15,-1,Not Cover
117,81,3,360,20,-1,Not Cover
118,81,3,360,25,-1,Not Cover
119,81,3,360,30,-1,Not Cover
120,81,3,420,5,-1,Not Cover
121,81,3,420,10,-1,Not Cover
122,81,3,420,15,-1,Not Cover
123,81,3,420,20,-1,Not Cover
124,81,3,420,25,-1,Not Cover
125,81,3,420,30,-1,Not Cover
126,81,3,480,5,-1,Not Cover
127,81,3,480,10,-1,Not Cover
128,81,3,480,15,-1,Not Cover
129,81,3,480,20,-1,Not Cover
130,81,3,480,25,-1,Not Cover
131,81,3,480,30,-1,Not Cover
132,81,3,540,5,-1,Not Cover
133,81,3,540,10,-1,Not Cover
134,81,3,540,15,-1,Not Cover
135,81,3,540,20,-1,Not Cover
136,81,3,540,25,-1,Not Cover
137,81,3,540,30,-1,Not Cover
138,81,3,600,5,-1,Not Cover
139,81,3,600,10,-1,Not Cover
140,81,3,600,15,-1,Not Cover
141,81,3,600,20,-1,Not Cover
142,81,3,600,25,-1,Not Cover
143,81,3,600,30,-1,Not Cover
144,81,4,180,5,-1,Not Cover
145,81,4,180,10,-1,Not Cover
146,81,4,180,15,-1,Not Cover
147,81,4,180,20,-1,Not Cover
148,81,4,180,25,-1,Not Cover
149,81,4,180,30,-1,Not Cover
150,81,4,240,5,-1,Not Cover
151,81,4,240,10,-1,Not Cover
152,81,4,240,15,-1,Not Cover
153,81,4,240,20,-1,Not Cover
154,81,4,240,25,-1,Not Cover
155,81,4,240,30,-1,Not Cover
156,81,4,300,5,-1,Not Cover
157,81,4,300,10,-1,Not Cover
158,81,4,300,15,-1,Not Cover
159,81,4,300,20,-1,Not Cover
160,81,4,300,25,-1,Not Cover
161,81,4,300,30,-1,Not Cover
162,81,4,360,5,-1,Not Cover
163,81,4,360,10,-1,Not Cover
164,81,4,360,15,-1,Not Cover
165,81,4,360,20,-1,Not Cover
166,81,4,360,25,-1,Not Cover
167,81,4,360,30,-1,Not Cover
168,81,4,420,5,-1,Not Cover
169,81,4,420,10,-1,Not Cover
170,81,4,420,15,-1,Not Cover
171,81,4,420,20,-1,Not Cover
172,81,4,420,25,-1,Not Cover
173,81,4,420,30,-1,Not Cover
174,81,4,480,5,-1,Not Cover
175,81,4,480,10,-1,Not Cover
176,81,4,480,15,-1,Not Cover
177,81,4,480,20,-1,Not Cover
178,81,4,480,25,-1,Not Cover
179,81,4,480,30,-1,Not Cover
180,81,4,540,5,-1,Not Cover
181,81,4,540,10,-1,Not Cover
182,81,4,540,15,-1,Not Cover
183,81,4,540,20,-1,Not Cover
184,81,4,540,25,-1,Not Cover
185,81,4,540,30,-1,Not Cover
186,81,4,600,5,-1,Not Cover
187,81,4,600,10,-1,Not Cover
188,81,4,600,15,-1,Not Cover
189,81,4,600,20,-1,Not Cover
190,81,4,600,25,-1,Not Cover
191,81,4,600,30,-1,Not Cover
192,81,5,180,5,-1,Not Cover
193,81,5,180,10,-1,Not Cover
194,81,5,180,15,-1,Not Cover
195,81,5,180,20,-1,Not Cover
196,81,5,180,25,-1,Not Cover
197,81,5,180,30,-1,Not Cover
198,81,5,240,5,-1,Not Cover
199,81,5,240,10,-1,Not Cover
